id;first_name;last_name;address;city;telephone
1;Whitney;Osinski;except;Braunport;489-598-4669 x57986
2;Donnell;Yundt;nutritious fluid overconfidently;St. Peters;(409) 907-7998 x060
3;Sydni;Jones;sarong despite married;East Dawn;622.253.5219 x3077
4;Frida;Lemke;entreat boo;Harlingen;280.638.5562 x249
5;Estel;Herzog;naughty;Deshawnport;(976) 762-8884 x267
6;Alex;Dicki;while woot;Dietrichtown;810.859.6582 x12857
7;Rosina;Ratke;committee shoe;Keeblermouth;801-543-7630 x6129
8;Jennie;Goldner;less slipper desktop;West Germanberg;(554) 318-3912 x045
9;Estella;Sawayn;up;East Adalbertofort;(249) 395-8134 x951
10;Tanner;Lueilwitz;zealous common sanction;East Micaelabury;414-260-8516 x180
